C,class_weight,preproc,keypoint_size,step,n_keypoints,n_words,accuracy,macro_f1,fit_seconds,n_iter,converged
10.0,,clahe_gray,4,2,576,500,0.7371647509578544,0.6723138388333004,7.304061764996732,22,True
30.0,,clahe_gray,4,2,576,500,0.7320561941251597,0.6651000725275656,8.018990583979758,32,True
100.0,,clahe_gray,4,2,576,500,0.725925925925926,0.6595245569071242,10.34850649299915,71,True
10.0,balanced,clahe_gray,4,2,576,500,0.7305236270753512,0.6665937156387747,7.0076583129994106,20,True
30.0,balanced,clahe_gray,4,2,576,500,0.7265644955300128,0.6619454682274424,8.079077647009399,75,True
100.0,balanced,clahe_gray,4,2,576,500,0.723882503192848,0.658187355747041,10.357999755011406,126,True
10.0,,clahe_gray,4,2,576,1000,0.7781609195402299,0.732205490123278,8.656360653985757,22,True
30.0,,clahe_gray,4,2,576,1000,0.7724137931034483,0.7207747956738363,10.1159987669962,34,True
100.0,,clahe_gray,4,2,576,1000,0.7613026819923372,0.7075210164942775,13.648952005984029,87,True
10.0,balanced,clahe_gray,4,2,576,1000,0.776117496807152,0.7266771864951519,8.467624437005725,33,True
30.0,balanced,clahe_gray,4,2,576,1000,0.7698595146871009,0.7165684777194721,10.573632837971672,86,True
100.0,balanced,clahe_gray,4,2,576,1000,0.7628352490421456,0.7094178990567256,16.779774697992252,191,True
10.0,,clahe_gray,3,2,576,500,0.7970625798212005,0.7329112679521049,8.552056913991692,23,True
30.0,,clahe_gray,3,2,576,500,0.789272030651341,0.7228571618587545,9.21499482699437,27,True
100.0,,clahe_gray,3,2,576,500,0.7808429118773946,0.7097015631704161,13.963803911989089,66,True
10.0,balanced,clahe_gray,3,2,576,500,0.7946360153256705,0.7346687545759829,12.008091944007901,19,True
30.0,balanced,clahe_gray,3,2,576,500,0.7888888888888889,0.7228323272730696,13.863466242997674,56,True
100.0,balanced,clahe_gray,3,2,576,500,0.780970625798212,0.7122761299176269,17.49856323201675,116,True
10.0,,clahe_gray,3,2,576,1000,0.8573435504469987,0.7938655531017287,13.941379750001943,24,True
30.0,,clahe_gray,3,2,576,1000,0.8477650063856961,0.783811653933137,16.191471628990257,38,True
100.0,,clahe_gray,3,2,576,1000,0.8413793103448276,0.7751122841521872,21.983466884994414,97,True
10.0,balanced,clahe_gray,3,2,576,1000,0.8577266922094509,0.7936237247092757,12.919279833993642,34,True
30.0,balanced,clahe_gray,3,2,576,1000,0.8499361430395913,0.7860903500876545,14.640599479986122,81,True
100.0,balanced,clahe_gray,3,2,576,1000,0.8435504469987228,0.7768966658224122,22.047497560997726,195,True
